name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
BreastCancer,0.704225352112676,0.15336894989013672,0.02700018882751465,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancer,0.6619718309859155,0.1531674861907959,0.026904821395874023,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancer,0.6901408450704225,0.15325188636779785,0.026915550231933594,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWisc,0.9828571428571429,0.18286705017089844,0.04544353485107422,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWisc,0.9657142857142857,0.18321990966796875,0.04556608200073242,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWisc,0.9714285714285714,0.18262243270874023,0.04546546936035156,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWisc,0.9714285714285714,0.18263030052185059,0.04545140266418457,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWisc,0.9771428571428571,0.182969331741333,0.045532941818237305,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscDiag,0.9436619718309859,0.1877121925354004,0.0396728515625,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscDiag,0.9507042253521126,0.18793010711669922,0.039774417877197266,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscDiag,0.9507042253521126,0.1873462200164795,0.03969836235046387,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscDiag,0.9507042253521126,0.19014406204223633,0.03982043266296387,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscDiag,0.9507042253521126,0.18906760215759277,0.039785146713256836,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscProg,0.7755102040816326,0.15033960342407227,0.02275538444519043,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscProg,0.7142857142857143,0.15078973770141602,0.022748470306396484,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscProg,0.673469387755102,0.15040159225463867,0.022865772247314453,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscProg,0.7346938775510204,0.15022683143615723,0.022790193557739258,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastCancerWiscProg,0.7959183673469388,0.14982867240905762,0.022761106491088867,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastTissue,0.6153846153846154,0.1397418975830078,0.018941164016723633,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastTissue,0.6923076923076923,0.13934588432312012,0.0188291072845459,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastTissue,0.7307692307692307,0.13953590393066406,0.018837451934814453,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastTissue,0.6153846153846154,0.13955330848693848,0.018832683563232422,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
BreastTissue,0.7307692307692307,0.13941025733947754,0.018826961517333984,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Car,0.9513888888888888,0.26236724853515625,0.09281373023986816,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Car,0.9606481481481481,0.26322317123413086,0.09325933456420898,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Car,0.9467592592592593,0.26915955543518066,0.09484601020812988,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Car,0.9583333333333334,0.2622547149658203,0.09288525581359863,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Car,0.9629629629629629,0.26202940940856934,0.09328079223632812,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography10Clases,0.8286252354048964,0.361083984375,0.11298632621765137,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography10Clases,0.8267419962335216,0.3629484176635742,0.11341667175292969,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography10Clases,0.8173258003766478,0.3591041564941406,0.1131291389465332,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography10Clases,0.832391713747646,0.3607923984527588,0.1132042407989502,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography10Clases,0.8210922787193974,0.3594543933868408,0.11325693130493164,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography3Clases,0.9171374764595104,0.33566713333129883,0.11087989807128906,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography3Clases,0.9265536723163842,0.34089088439941406,0.11081838607788086,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography3Clases,0.928436911487759,0.3363795280456543,0.11133527755737305,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography3Clases,0.9378531073446328,0.33380746841430664,0.11060786247253418,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Cardiotocography3Clases,0.9303201506591338,0.3379342555999756,0.11083340644836426,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvk,0.7389506700883947,2.7656941413879395,1.4529297351837158,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvk,0.7368120901055033,2.7019240856170654,1.3292591571807861,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvk,0.7295409181636726,2.7879750728607178,1.3376123905181885,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvk,0.7352437981180496,2.779146909713745,1.3385558128356934,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvk,0.7309666381522669,2.8235859870910645,1.320267677307129,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvkp,0.9937421777221527,0.39167070388793945,0.16170883178710938,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvkp,0.9899874843554443,0.39235639572143555,0.16198134422302246,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvkp,0.9912390488110138,0.3909602165222168,0.16203999519348145,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvkp,0.9937421777221527,0.39100050926208496,0.16196942329406738,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ChessKrvkp,0.9987484355444305,0.39224791526794434,0.1616969108581543,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CongressionalVoting,0.5871559633027523,0.16405057907104492,0.03403329849243164,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CongressionalVoting,0.5137614678899083,0.1636970043182373,0.033914804458618164,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CongressionalVoting,0.5596330275229358,0.16383862495422363,0.033815860748291016,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CongressionalVoting,0.5688073394495413,0.1637110710144043,0.03406262397766113,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CongressionalVoting,0.6146788990825688,0.16396427154541016,0.03387808799743652,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchSonarMinesRocks,0.7307692307692307,0.15358805656433105,0.02338266372680664,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchSonarMinesRocks,0.7692307692307693,0.15323138236999512,0.0234222412109375,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ConnBenchSonarMinesRocks,0.7692307692307693,0.15394210815429688,0.02342700958251953,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
