name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions
UCIHAR,0.6973193287849426,3.048617124557495,16.02353549003601,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,40
UCIHAR,0.15473362803459167,3.048617124557495,16.69008159637451,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,50
UCIHAR,0.00033932813676074147,3.048617124557495,17.505088806152344,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,60
UCIHAR,0.0,3.048617124557495,15.10862946510315,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,70
UCIHAR,0.0,3.048617124557495,16.39591670036316,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,80
UCIHAR,0.0,3.048617124557495,16.78587245941162,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,90
UCIHAR,0.0,3.048617124557495,16.83762812614441,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,100
CIFAR10,0.31139999628067017,62.814992904663086,72.29688715934753,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,0
CIFAR10,0.30799999833106995,62.814992904663086,72.75865340232849,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,5
CIFAR10,0.30300000309944153,62.814992904663086,71.19194102287292,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,10
CIFAR10,0.28700000047683716,62.814992904663086,71.9262204170227,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,20
CIFAR10,0.24529999494552612,62.814992904663086,72.66770529747009,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,30
CIFAR10,0.17550000548362732,62.814992904663086,72.3679690361023,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,40
CIFAR10,0.10080000013113022,62.814992904663086,73.534353017807,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,50
CIFAR10,0.05990000069141388,62.814992904663086,74.11691069602966,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,60
CIFAR10,0.03530000150203705,62.814992904663086,72.39248204231262,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,70
CIFAR10,0.03539999946951866,62.814992904663086,76.52162480354309,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,80
CIFAR10,0.03189999982714653,62.814992904663086,73.57387566566467,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,90
CIFAR10,0.03180000185966492,62.814992904663086,73.36803245544434,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,100
EuropeanLanguages,0.04809523746371269,131.62462544441223,94.19441199302673,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,0
EuropeanLanguages,0.04828571528196335,131.62462544441223,93.73558855056763,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,5
EuropeanLanguages,0.046761903911828995,131.62462544441223,98.07267737388611,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,10
EuropeanLanguages,0.04857143014669418,131.62462544441223,98.21737265586853,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,20
EuropeanLanguages,0.04823809489607811,131.62462544441223,95.89923405647278,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,30
EuropeanLanguages,0.04709523916244507,131.62462544441223,94.66700339317322,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,40
EuropeanLanguages,0.04776190593838692,131.62462544441223,95.87548875808716,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,50
EuropeanLanguages,0.047285713255405426,131.62462544441223,92.75481986999512,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,60
EuropeanLanguages,0.0473809540271759,131.62462544441223,96.5065369606018,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,70
EuropeanLanguages,0.04647618904709816,131.62462544441223,97.45865797996521,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,80
EuropeanLanguages,0.04476190358400345,131.62462544441223,97.91155171394348,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,90
EuropeanLanguages,0.0451904758810997,131.62462544441223,97.68775725364685,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,100
MNIST,0.9182000160217285,38.714303731918335,49.05807065963745,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,0
MNIST,0.9142000079154968,38.714303731918335,50.68731164932251,10000,adapt,density,30,1,,,,,,,,,,,,5,reset,0.25,5
