Name,Accuracy,TrainTime,TestTime,Dimensions,Method,Encoding,Iterations
Mushroom,0.8783850073814392,37.43178963661194,17.215126037597656,10000,add,generic,1
Musk1,0.5714285969734192,16.27302885055542,6.631733417510986,10000,add,generic,1
Musk2,0.8459672331809998,229.26052141189575,79.98045253753662,10000,add,generic,1
Nursery,0.8179012537002563,23.97895646095276,14.075285911560059,10000,add,generic,1
OocytesMerlucciusNucleus4d,0.6705882549285889,9.415035963058472,4.4599080085754395,10000,add,generic,1
OocytesMerlucciusStates2f,0.6901960968971252,5.489903450012207,2.206936836242676,10000,add,generic,1
OocytesTrisopterusNucleus2f,0.5789473652839661,5.955441236495972,2.135789632797241,10000,add,generic,1
OocytesTrisopterusStates5b,0.6359649300575256,6.479434013366699,2.2844398021698,10000,add,generic,1
Optical,0.8714523911476135,64.28049969673157,37.1734893321991,10000,add,generic,1
Ozone,0.9716088175773621,39.13054847717285,13.650293588638306,10000,add,generic,1
PageBlocks,0.8983917832374573,11.213112831115723,5.217561960220337,10000,add,generic,1
Parkinsons,0.7551020383834839,1.211580514907837,0.3120288848876953,10000,add,generic,1
Pendigits,0.6795311570167542,36.7146360874176,24.4973247051239,10000,add,generic,1
Pima,0.6510416865348816,1.6910033226013184,0.7562382221221924,10000,add,generic,1
PittsburgBridgesMaterial,0.7692307829856873,0.40293359756469727,0.07963109016418457,10000,add,generic,1
PittsburgBridgesRelL,0.6153846383094788,0.34729456901550293,0.08085393905639648,10000,add,generic,1
PittsburgBridgesSpan,0.5652173757553101,0.38535499572753906,0.24633359909057617,10000,add,generic,1
PittsburgBridgesTOrD,0.8799999952316284,0.35583925247192383,0.26801204681396484,10000,add,generic,1
PittsburgBridgesType,0.5,0.20721745491027832,0.07947945594787598,10000,add,generic,1
Planning,0.7111111283302307,1.27276611328125,0.46233415603637695,10000,add,generic,1
PlantMargin,0.7300000190734863,22.132226943969727,6.938674688339233,10000,add,generic,1
PlantShape,0.4050000011920929,21.468957901000977,8.326854467391968,10000,add,generic,1
PlantTexture,0.6575000286102295,20.82051134109497,8.211151123046875,10000,add,generic,1
PostOperative,0.7272727489471436,0.3158116340637207,0.2546656131744385,10000,add,generic,1
PrimaryTumor,0.3048780560493469,2.931206464767456,0.6199336051940918,10000,add,generic,1
Ringnorm,0.5048648715019226,36.69880390167236,11.196787357330322,10000,add,generic,1
Seeds,0.8653846383094788,0.8822102546691895,0.5564911365509033,10000,add,generic,1
Semeion,0.7638190984725952,82.07778263092041,30.701974630355835,10000,add,generic,1
Soybean,0.26595744490623474,3.3143253326416016,4.0226099491119385,10000,add,generic,1
Spambase,0.6060869693756104,55.47111415863037,20.036828994750977,10000,add,generic,1
Spect,0.5483871102333069,1.2228660583496094,1.647336483001709,10000,add,generic,1
Spectf,0.9197860956192017,0.9587674140930176,3.5080552101135254,10000,add,generic,1
StatlogAustralianCredit,0.680232584476471,2.248159646987915,1.3182373046875,10000,add,generic,1
StatlogGermanCredit,0.699999988079071,6.102841854095459,2.564039707183838,10000,add,generic,1
StatlogHeart,0.7164179086685181,1.4373447895050049,0.2910149097442627,10000,add,generic,1
StatlogImage,0.8058925271034241,9.849576473236084,4.137292861938477,10000,add,generic,1
StatlogLandsat,0.6539999842643738,46.41864562034607,22.038750648498535,10000,add,generic,1
StatlogShuttle,0.7915862202644348,120.53145623207092,65.60514330863953,10000,add,generic,1
StatlogVehicle,0.4597156345844269,3.475207805633545,2.2878482341766357,10000,add,generic,1
SteelPlates,0.3525773286819458,11.521278142929077,4.567009925842285,10000,add,generic,1
SyntheticControl,0.7666666507720947,8.16270923614502,3.123999834060669,10000,add,generic,1
Teaching,0.5526315569877625,0.33623528480529785,0.2389369010925293,10000,add,generic,1
Thyroid,0.9270711541175842,23.31838893890381,23.623138904571533,10000,add,generic,1
TicTacToe,0.6527196764945984,1.7641761302947998,0.8380672931671143,10000,add,generic,1
Titanic,0.6781818270683289,1.5110688209533691,1.108513355255127,10000,add,generic,1
Trains,0.5,0.11818504333496094,0.05967259407043457,10000,add,generic,1
Twonorm,0.9702702760696411,37.37112259864807,13.979778289794922,10000,add,generic,1
VertebralColumn2Clases,0.6753246784210205,0.5299050807952881,0.21358680725097656,10000,add,generic,1
VertebralColumn3Clases,0.6623376607894897,0.7071840763092041,0.2140359878540039,10000,add,generic,1
WallFollowing,0.5975073575973511,28.496153831481934,11.139543056488037,10000,add,generic,1
Waveform,0.7591999769210815,21.888182401657104,8.368326902389526,10000,add,generic,1
WaveformNoise,0.8248000144958496,61.98668885231018,24.93500018119812,10000,add,generic,1
Wine,0.7727272510528564,0.7137055397033691,0.1918482780456543,10000,add,generic,1
WineQualityRed,0.4375,3.8570921421051025,2.36234450340271,10000,add,generic,1
WineQualityWhite,0.4501633942127228,12.254070520401001,5.370666265487671,10000,add,generic,1
Yeast,0.3207547068595886,2.581786632537842,1.2999765872955322,10000,add,generic,1
Zoo,0.800000011920929,0.695239782333374,0.12626910209655762,10000,add,generic,1
