epoch,accuracy,resources,train_duration,train_set_size,test_duration,test_set_size,dimensions,device,dataset
8,0.9320999979972839,0.699999988079071,191.93281316757202,60000,20.888042211532593,10000,10000,cuda:3,MNIST
9,0.9312999844551086,0.699999988079071,191.93686771392822,60000,20.535993099212646,10000,10000,cuda:3,MNIST
10,0.9320999979972839,0.699999988079071,188.8392186164856,60000,23.9855637550354,10000,10000,cuda:3,MNIST
1,0.8445999622344971,0.6000000238418579,176.19163703918457,60000,18.211588621139526,10000,10000,cuda:3,MNIST
2,0.9186999797821045,0.6000000238418579,179.50028204917908,60000,18.98564624786377,10000,10000,cuda:3,MNIST
3,0.880899965763092,0.6000000238418579,180.0823106765747,60000,20.467538356781006,10000,10000,cuda:3,MNIST
4,0.916700005531311,0.6000000238418579,183.07813668251038,60000,20.55075764656067,10000,10000,cuda:3,MNIST
5,0.9268999695777893,0.6000000238418579,179.49358701705933,60000,20.80899953842163,10000,10000,cuda:3,MNIST
6,0.9277999997138977,0.6000000238418579,148.43970203399658,60000,15.075324296951294,10000,10000,cuda:3,MNIST
7,0.9299999475479126,0.6000000238418579,135.07050585746765,60000,15.323122501373291,10000,10000,cuda:3,MNIST
8,0.9143999814987183,0.6000000238418579,142.82479333877563,60000,15.09673810005188,10000,10000,cuda:3,MNIST
9,0.9383999705314636,0.6000000238418579,158.106915473938,60000,20.92196488380432,10000,10000,cuda:3,MNIST
10,0.937999963760376,0.6000000238418579,185.7338740825653,60000,20.741963624954224,10000,10000,cuda:3,MNIST
1,0.8962000012397766,0.5,180.6127004623413,60000,20.51841902732849,10000,10000,cuda:3,MNIST
2,0.8707999587059021,0.5,151.31078839302063,60000,17.08756136894226,10000,10000,cuda:3,MNIST
3,0.913100004196167,0.5,134.5673394203186,60000,17.543901920318604,10000,10000,cuda:3,MNIST
4,0.9238999485969543,0.5,176.9516885280609,60000,17.84915256500244,10000,10000,cuda:3,MNIST
5,0.8967999815940857,0.5,178.78250241279602,60000,21.045549869537354,10000,10000,cuda:3,MNIST
6,0.91239994764328,0.5,169.23505878448486,60000,20.962303638458252,10000,10000,cuda:3,MNIST
7,0.8982999920845032,0.5,169.48319506645203,60000,18.749731063842773,10000,10000,cuda:3,MNIST
8,0.9375999569892883,0.5,173.4118938446045,60000,20.504422664642334,10000,10000,cuda:3,MNIST
