Name,Accuracy,Time,Dimensions,Method,Encoding,Iterations,Retrain
PAMAP,0.9467254281044006,500.7704846858978,10000,add_online,hashmap,1,True
PAMAP,0.9454994201660156,441.9429831504822,10000,add_online,hashmap,1,True
PAMAP,0.9456161856651306,457.19363808631897,10000,add_online,hashmap,1,True
PAMAP,0.8522749543190002,597.6061592102051,10000,add_online,hashmap,1,True
PAMAP,0.8691578507423401,640.7573697566986,10000,add_online,hashmap,1,True
PAMAP,0.8667318820953369,602.7937657833099,10000,add_online,hashmap,1,True
PAMAP,0.8991172313690186,613.9520120620728,10000,add_online,hashmap,1,True
PAMAP,0.9151875376701355,601.9592187404633,10000,add_online,hashmap,1,True
PAMAP,0.9137632250785828,599.2576150894165,10000,add_online,hashmap,1,True
PAMAP,0.954537570476532,548.4541926383972,10000,add_online,hashmap,1,True
PAMAP,0.951310932636261,545.0662183761597,10000,add_online,hashmap,1,True
PAMAP,0.9564474821090698,499.3787188529968,10000,add_online,hashmap,1,True
PAMAP,0.9491288065910339,537.1678702831268,10000,add_online,hashmap,1,True
PAMAP,0.9452967047691345,621.2292263507843,10000,add_online,hashmap,1,True
PAMAP,0.9486144185066223,627.2136514186859,10000,add_online,hashmap,1,True
EuropeanLanguages,0.04580952227115631,424.9469087123871,10000,add_online,hashmap,1,False
EuropeanLanguages,0.0489523820579052,496.00043845176697,10000,add_online,hashmap,1,False
EuropeanLanguages,0.05061904713511467,473.6937024593353,10000,add_online,hashmap,1,False
PAMAP,0.9958738684654236,403.1067724227905,10000,add_online,hashmap,1,False
PAMAP,0.9930422306060791,384.2008466720581,10000,add_online,hashmap,1,False
PAMAP,0.9670585989952087,379.0850534439087,10000,add_online,hashmap,1,False
PAMAP,0.9979803562164307,348.4306814670563,10000,add_online,hashmap,1,False
PAMAP,0.9989837408065796,421.8924481868744,10000,add_online,hashmap,1,False
PAMAP,0.9992796182632446,414.73033905029297,10000,add_online,hashmap,1,False
PAMAP,0.9967116117477417,231.74483466148376,10000,add_online,hashmap,1,False
PAMAP,0.992577075958252,274.3879873752594,10000,add_online,hashmap,1,False
PAMAP,0.9952116012573242,268.97693133354187,10000,add_online,hashmap,1,False
PAMAP,0.9947893023490906,388.30693888664246,10000,add_online,hashmap,1,False
PAMAP,0.9923955798149109,390.6397123336792,10000,add_online,hashmap,1,False
PAMAP,0.9975041151046753,396.7813837528229,10000,add_online,hashmap,1,False
PAMAP,0.9963857531547546,447.7650852203369,10000,add_online,hashmap,1,False
PAMAP,0.9938979148864746,444.0778794288635,10000,add_online,hashmap,1,False
PAMAP,0.9973636269569397,440.94661927223206,10000,add_online,hashmap,1,False
PAMAP,0.9949343800544739,403.0488920211792,10000,add_online,hashmap,1,False
PAMAP,0.9958614706993103,410.25187826156616,10000,add_online,hashmap,1,False
PAMAP,0.9970170259475708,382.57631516456604,10000,add_online,hashmap,1,False
PAMAP,0.9989582300186157,399.1419126987457,10000,add_online,hashmap,1,False
PAMAP,0.9954421520233154,401.9924314022064,10000,add_online,hashmap,1,False
PAMAP,0.9973087310791016,419.7390294075012,10000,add_online,hashmap,1,False
PAMAP,0.9975696206092834,464.90901255607605,10000,add_online,hashmap,1,False
PAMAP,0.9983540177345276,453.54961919784546,10000,add_online,hashmap,1,False
PAMAP,0.9981353878974915,463.8630120754242,10000,add_online,hashmap,1,False
