Name,Accuracy,AccuracyInitial,Time,Dimensions,Method,Encoding,Iterations,Retrain
PageBlocks,0.9502924084663391,0.9524853825569153,107.39035701751709,10000,add_adapt,flocet,6,False
Parkinsons,0.8163265585899353,0.8163265585899353,4.965631723403931,10000,add_adapt,flocet,6,False
Parkinsons,0.795918345451355,0.8163265585899353,2.7022581100463867,10000,add_adapt,flocet,6,False
Parkinsons,0.8979591727256775,0.8979591727256775,4.696673154830933,10000,add_adapt,flocet,6,False
Pendigits,0.9262435436248779,0.8942252993583679,309.68161058425903,10000,add_adapt,flocet,12,False
Pendigits,0.9308176040649414,0.8933676481246948,336.53034472465515,10000,add_adapt,flocet,14,False
Pendigits,0.9293882250785828,0.8962264060974121,266.5070171356201,10000,add_adapt,flocet,11,False
Pima,0.7083333134651184,0.703125,47.16940784454346,10000,add_adapt,flocet,22,False
Pima,0.71875,0.7447916865348816,24.377931118011475,10000,add_adapt,flocet,12,False
Pima,0.734375,0.71875,43.61775064468384,10000,add_adapt,flocet,26,False
PittsburgBridgesMaterial,0.8846153616905212,0.9230769276618958,12.980418682098389,10000,add_adapt,flocet,50,False
PittsburgBridgesMaterial,0.8846153616905212,0.8846153616905212,12.214466571807861,10000,add_adapt,flocet,50,False
PittsburgBridgesMaterial,0.8846153616905212,0.9230769276618958,2.4851555824279785,10000,add_adapt,flocet,8,False
PittsburgBridgesRelL,0.6538461446762085,0.5769230723381042,12.237134456634521,10000,add_adapt,flocet,50,False
PittsburgBridgesRelL,0.692307710647583,0.5,10.470704793930054,10000,add_adapt,flocet,50,False
PittsburgBridgesRelL,0.692307710647583,0.5769230723381042,11.070653438568115,10000,add_adapt,flocet,50,False
PittsburgBridgesSpan,0.6521739363670349,0.52173912525177,10.428507566452026,10000,add_adapt,flocet,50,False
PittsburgBridgesSpan,0.695652186870575,0.6521739363670349,5.045673131942749,10000,add_adapt,flocet,24,False
PittsburgBridgesSpan,0.6086956262588501,0.6521739363670349,9.284496784210205,10000,add_adapt,flocet,50,False
PittsburgBridgesTOrD,0.8399999737739563,0.8399999737739563,12.50777530670166,10000,add_adapt,flocet,50,False
PittsburgBridgesTOrD,0.8399999737739563,0.800000011920929,12.033596992492676,10000,add_adapt,flocet,50,False
PittsburgBridgesTOrD,0.8799999952316284,0.8399999737739563,1.4228556156158447,10000,add_adapt,flocet,5,False
PittsburgBridgesType,0.6538461446762085,0.5,12.086637258529663,10000,add_adapt,flocet,50,False
PittsburgBridgesType,0.7307692170143127,0.692307710647583,12.566085577011108,10000,add_adapt,flocet,50,False
PittsburgBridgesType,0.7307692170143127,0.6538461446762085,3.5194408893585205,10000,add_adapt,flocet,12,False
Planning,0.5333333611488342,0.5555555820465088,5.039729833602905,10000,add_adapt,flocet,10,False
Planning,0.6222222447395325,0.5333333611488342,4.462323427200317,10000,add_adapt,flocet,8,False
Planning,0.644444465637207,0.5555555820465088,4.6142578125,10000,add_adapt,flocet,10,False
PlantMargin,0.7250000238418579,0.7149999737739563,27.24186396598816,10000,add_adapt,flocet,7,False
PlantMargin,0.7275000214576721,0.7225000262260437,34.25269842147827,10000,add_adapt,flocet,11,False
PlantMargin,0.75,0.7425000071525574,24.74552321434021,10000,add_adapt,flocet,6,False
PlantShape,0.574999988079071,0.4699999988079071,36.624080419540405,10000,add_adapt,flocet,10,False
PlantShape,0.5799999833106995,0.4724999964237213,41.93696928024292,10000,add_adapt,flocet,10,False
PlantShape,0.6000000238418579,0.47999998927116394,39.71921396255493,10000,add_adapt,flocet,10,False
PlantTexture,0.75,0.6549999713897705,38.97898840904236,10000,add_adapt,flocet,9,False
PlantTexture,0.7475000023841858,0.6625000238418579,29.67957043647766,10000,add_adapt,flocet,7,False
PlantTexture,0.7049999833106995,0.6499999761581421,36.13613319396973,10000,add_adapt,flocet,8,False
PostOperative,0.5909090638160706,0.6818181872367859,15.667334794998169,10000,add_adapt,flocet,50,False
PostOperative,0.4545454680919647,0.5909090638160706,15.329880237579346,10000,add_adapt,flocet,50,False
PostOperative,0.5909090638160706,0.4545454680919647,13.913365125656128,10000,add_adapt,flocet,50,False
PrimaryTumor,0.5243902206420898,0.45121949911117554,51.13913416862488,10000,add_adapt,flocet,50,False
PrimaryTumor,0.5243902206420898,0.40243902802467346,39.949658155441284,10000,add_adapt,flocet,50,False
PrimaryTumor,0.47560974955558777,0.5121951103210449,42.17921471595764,10000,add_adapt,flocet,50,False
Ringnorm,0.9740540385246277,0.9740540385246277,90.77876472473145,10000,add_adapt,flocet,5,False
Ringnorm,0.977297306060791,0.976216197013855,125.99286413192749,10000,add_adapt,flocet,7,False
Ringnorm,0.9751351475715637,0.9740540385246277,120.40259337425232,10000,add_adapt,flocet,5,False
Seeds,0.9038461446762085,0.9038461446762085,4.113902807235718,10000,add_adapt,flocet,7,False
Seeds,0.9038461446762085,0.9230769276618958,2.6289472579956055,10000,add_adapt,flocet,5,False
Seeds,0.9038461446762085,0.9038461446762085,4.275428056716919,10000,add_adapt,flocet,8,False
Semeion,0.9170854091644287,0.9195979833602905,40.20880746841431,10000,add_adapt,flocet,10,False
Semeion,0.9371859431266785,0.9346733689308167,29.109248638153076,10000,add_adapt,flocet,8,False
Semeion,0.927135705947876,0.9195979833602905,38.67013454437256,10000,add_adapt,flocet,10,False
Soybean,0.40159574151039124,0.4228723347187042,7.91729211807251,10000,add_adapt,flocet,8,False
Soybean,0.41223403811454773,0.41489362716674805,8.030149936676025,10000,add_adapt,flocet,6,False
Soybean,0.3856382966041565,0.3856382966041565,11.485991716384888,10000,add_adapt,flocet,9,False
Spambase,0.9252173900604248,0.9243478178977966,165.22550892829895,10000,add_adapt,flocet,16,False
Spambase,0.9208695888519287,0.9130434989929199,52.410634994506836,10000,add_adapt,flocet,5,False
Spambase,0.9313043355941772,0.9234782457351685,121.62744164466858,10000,add_adapt,flocet,11,False
Spect,0.6236559152603149,0.5215053558349609,12.129988193511963,10000,add_adapt,flocet,39,False
Spect,0.6505376100540161,0.6236559152603149,14.623779058456421,10000,add_adapt,flocet,50,False
Spect,0.6881720423698425,0.6720430254936218,16.706281661987305,10000,add_adapt,flocet,50,False
Spectf,0.9197860956192017,0.9197860956192017,3.281172037124634,10000,add_adapt,flocet,6,False
Spectf,0.9197860956192017,0.9197860956192017,3.3230485916137695,10000,add_adapt,flocet,6,False
Spectf,0.9197860956192017,0.9197860956192017,3.3394200801849365,10000,add_adapt,flocet,6,False
StatlogAustralianCredit,0.6104651093482971,0.5581395626068115,45.840051889419556,10000,add_adapt,flocet,24,False
StatlogAustralianCredit,0.6279069781303406,0.6511628031730652,35.456714391708374,10000,add_adapt,flocet,22,False
StatlogAustralianCredit,0.6569767594337463,0.5523256063461304,41.840851068496704,10000,add_adapt,flocet,23,False
StatlogGermanCredit,0.7239999771118164,0.7200000286102295,45.308367013931274,10000,add_adapt,flocet,19,False
StatlogGermanCredit,0.6959999799728394,0.7319999933242798,38.698216915130615,10000,add_adapt,flocet,19,False
StatlogGermanCredit,0.7039999961853027,0.699999988079071,26.64770531654358,10000,add_adapt,flocet,12,False
StatlogHeart,0.8805969953536987,0.8656716346740723,9.77292251586914,10000,add_adapt,flocet,11,False
StatlogHeart,0.8805969953536987,0.89552241563797,7.852124452590942,10000,add_adapt,flocet,8,False
StatlogHeart,0.89552241563797,0.9104477763175964,7.640413999557495,10000,add_adapt,flocet,7,False
StatlogImage,0.9445407390594482,0.9358752369880676,101.07306718826294,10000,add_adapt,flocet,20,False
StatlogImage,0.9480069279670715,0.9289427995681763,156.36330485343933,10000,add_adapt,flocet,25,False
StatlogImage,0.9462738037109375,0.927209734916687,87.89017128944397,10000,add_adapt,flocet,16,False
StatlogLandsat,0.8740000128746033,0.8399999737739563,449.544650554657,10000,add_adapt,flocet,30,False
StatlogLandsat,0.8734999895095825,0.8370000123977661,349.19454050064087,10000,add_adapt,flocet,25,False
StatlogLandsat,0.8700000047683716,0.8429999947547913,434.8005838394165,10000,add_adapt,flocet,29,False
StatlogShuttle,0.9905517101287842,0.9908275604248047,734.4678320884705,10000,add_adapt,flocet,5,False
StatlogShuttle,0.9901379346847534,0.9900689721107483,779.6616656780243,10000,add_adapt,flocet,5,False
StatlogShuttle,0.9901379346847534,0.9914482831954956,834.7649538516998,10000,add_adapt,flocet,5,False
StatlogVehicle,0.7630331516265869,0.7109004855155945,27.253119468688965,10000,add_adapt,flocet,14,False
StatlogVehicle,0.7440758347511292,0.7109004855155945,26.870119094848633,10000,add_adapt,flocet,13,False
StatlogVehicle,0.7345971465110779,0.6824644804000854,32.324655294418335,10000,add_adapt,flocet,16,False
SteelPlates,0.7422680258750916,0.6989690661430359,77.97284865379333,10000,add_adapt,flocet,17,False
SteelPlates,0.7402061820030212,0.7154639363288879,65.51632046699524,10000,add_adapt,flocet,15,False
SteelPlates,0.7443298697471619,0.7340205907821655,58.32853555679321,10000,add_adapt,flocet,13,False
SyntheticControl,0.9599999785423279,0.9599999785423279,7.73471474647522,10000,add_adapt,flocet,6,False
SyntheticControl,0.95333331823349,0.95333331823349,6.551201820373535,10000,add_adapt,flocet,5,False
SyntheticControl,0.9666666388511658,0.9599999785423279,7.51408314704895,10000,add_adapt,flocet,5,False
Teaching,0.7368420958518982,0.5,16.485934019088745,10000,add_adapt,flocet,50,False
Teaching,0.7105262875556946,0.3947368562221527,14.748372316360474,10000,add_adapt,flocet,50,False
Teaching,0.7368420958518982,0.5526315569877625,15.112653970718384,10000,add_adapt,flocet,50,False
Thyroid,0.9737456440925598,0.9635356068611145,109.60928201675415,10000,add_adapt,flocet,9,False
Thyroid,0.9708284735679626,0.9623687267303467,135.00079488754272,10000,add_adapt,flocet,11,False
Thyroid,0.9714118838310242,0.9623687267303467,116.24258661270142,10000,add_adapt,flocet,9,False
TicTacToe,0.9707112908363342,0.9581589698791504,11.657642364501953,10000,add_adapt,flocet,5,False
TicTacToe,0.9748954176902771,0.9832636117935181,14.219898223876953,10000,add_adapt,flocet,6,False
TicTacToe,0.9874476790428162,0.9581589698791504,14.507299661636353,10000,add_adapt,flocet,6,False
Titanic,0.7400000095367432,0.5727272629737854,246.48303627967834,10000,add_adapt,flocet,50,False
Titanic,0.6872727274894714,0.7763636112213135,69.5402820110321,10000,add_adapt,flocet,14,False
Titanic,0.7490909099578857,0.7418181896209717,262.34035873413086,10000,add_adapt,flocet,50,False
Trains,0.5,0.5,0.2987685203552246,10000,add_adapt,flocet,4,False
Trains,0.5,0.5,0.270129919052124,10000,add_adapt,flocet,4,False
Trains,0.5,0.5,0.15201807022094727,10000,add_adapt,flocet,4,False
Twonorm,0.9756757020950317,0.9756757020950317,85.04798817634583,10000,add_adapt,flocet,4,False
Twonorm,0.9783783555030823,0.977837860584259,110.11901783943176,10000,add_adapt,flocet,5,False
Twonorm,0.976216197013855,0.9751351475715637,82.66273212432861,10000,add_adapt,flocet,4,False
VertebralColumn2Clases,0.8181818127632141,0.8181818127632141,10.793129444122314,10000,add_adapt,flocet,16,False
VertebralColumn2Clases,0.8571428656578064,0.8441558480262756,7.835859060287476,10000,add_adapt,flocet,9,False
VertebralColumn2Clases,0.8701298832893372,0.8181818127632141,11.996893882751465,10000,add_adapt,flocet,17,False
VertebralColumn3Clases,0.7532467246055603,0.8181818127632141,11.283265590667725,10000,add_adapt,flocet,10,False
VertebralColumn3Clases,0.8051947951316833,0.7922077775001526,10.636113405227661,10000,add_adapt,flocet,14,False
VertebralColumn3Clases,0.8181818127632141,0.8181818127632141,13.181861639022827,10000,add_adapt,flocet,14,False
WallFollowing,0.936950147151947,0.9186217188835144,162.5385661125183,10000,add_adapt,flocet,11,False
WallFollowing,0.9420821070671082,0.9193548560142517,160.57831692695618,10000,add_adapt,flocet,11,False
WallFollowing,0.9406158328056335,0.9178885817527771,165.2823624610901,10000,add_adapt,flocet,11,False
Waveform,0.8503999710083008,0.8736000061035156,353.38803815841675,10000,add_adapt,flocet,31,False
Waveform,0.8407999873161316,0.8655999898910522,419.7700312137604,10000,add_adapt,flocet,31,False
Waveform,0.8432000279426575,0.8784000277519226,344.52693009376526,10000,add_adapt,flocet,27,False
WaveformNoise,0.8511999845504761,0.8623999953269958,310.44158911705017,10000,add_adapt,flocet,24,False
WaveformNoise,0.8456000089645386,0.8640000224113464,309.4602596759796,10000,add_adapt,flocet,24,False
WaveformNoise,0.8528000116348267,0.8528000116348267,253.91530442237854,10000,add_adapt,flocet,20,False
Wine,1.0,1.0,2.5131466388702393,10000,add_adapt,flocet,5,False
Wine,1.0,1.0,3.500943660736084,10000,add_adapt,flocet,7,False
Wine,1.0,1.0,2.6389873027801514,10000,add_adapt,flocet,6,False
WineQualityRed,0.6600000262260437,0.5550000071525574,68.49172592163086,10000,add_adapt,flocet,17,False
WineQualityRed,0.6025000214576721,0.5724999904632568,57.0240592956543,10000,add_adapt,flocet,14,False
WineQualityRed,0.6399999856948853,0.5400000214576721,63.52813410758972,10000,add_adapt,flocet,15,False
WineQualityWhite,0.5988562107086182,0.5171568393707275,409.4416170120239,10000,add_adapt,flocet,32,False
WineQualityWhite,0.6225489974021912,0.5392156839370728,382.86412358283997,10000,add_adapt,flocet,30,False
WineQualityWhite,0.6094771027565002,0.5253267884254456,295.2073583602905,10000,add_adapt,flocet,25,False
Yeast,0.4959568679332733,0.5175201892852783,105.03845286369324,10000,add_adapt,flocet,30,False
Yeast,0.5013477206230164,0.5336927175521851,73.97139644622803,10000,add_adapt,flocet,24,False
Yeast,0.49056604504585266,0.47978436946868896,93.11460399627686,10000,add_adapt,flocet,25,False
Zoo,1.0,1.0,1.865527868270874,10000,add_adapt,flocet,4,False
Zoo,1.0,1.0,2.1950271129608154,10000,add_adapt,flocet,7,False
Zoo,1.0,1.0,1.8377881050109863,10000,add_adapt,flocet,6,False
Abalone,0.6360152959823608,0.6369732022285461,359.7392420768738,10000,add_adjust,flocet,27,False
Abalone,0.6446360349655151,0.6206896305084229,394.0810081958771,10000,add_adjust,flocet,34,False
Abalone,0.6465517282485962,0.6264367699623108,346.47595381736755,10000,add_adjust,flocet,30,False
AcuteInflammation,1.0,1.0,2.3365631103515625,10000,add_adjust,flocet,4,False
AcuteInflammation,1.0,1.0,1.9262018203735352,10000,add_adjust,flocet,4,False
AcuteInflammation,1.0,1.0,1.5668447017669678,10000,add_adjust,flocet,4,False
AcuteNephritis,1.0,1.0,1.8353207111358643,10000,add_adjust,flocet,4,False
AcuteNephritis,1.0,1.0,1.571427583694458,10000,add_adjust,flocet,4,False
AcuteNephritis,1.0,1.0,1.5575034618377686,10000,add_adjust,flocet,4,False
Adult,0.8218168616294861,0.8327498435974121,790.4257555007935,10000,add_adjust,flocet,6,False
Adult,0.8192985653877258,0.8335483074188232,789.9328763484955,10000,add_adjust,flocet,6,False
Adult,0.8181929588317871,0.8332412242889404,1306.7018692493439,10000,add_adjust,flocet,9,False
Annealing,0.75,0.7599999904632568,169.1510875225067,10000,add_adjust,flocet,50,False
Annealing,0.7599999904632568,0.7699999809265137,157.2070324420929,10000,add_adjust,flocet,50,False
Annealing,0.75,0.75,194.8485815525055,10000,add_adjust,flocet,50,False
Arrhythmia,0.7079645991325378,0.4247787594795227,36.87584924697876,10000,add_adjust,flocet,21,False
Arrhythmia,0.6814159154891968,0.6725663542747498,62.75017309188843,10000,add_adjust,flocet,37,False
Arrhythmia,0.6725663542747498,0.6283186078071594,38.33031368255615,10000,add_adjust,flocet,23,False
AudiologyStd,0.6399999856948853,0.5199999809265137,5.343262672424316,10000,add_adjust,flocet,6,False
AudiologyStd,0.800000011920929,0.36000001430511475,10.715273141860962,10000,add_adjust,flocet,14,False
AudiologyStd,0.800000011920929,0.7200000286102295,11.244060039520264,10000,add_adjust,flocet,12,False
BalanceScale,0.9615384340286255,0.9358974099159241,47.236806869506836,10000,add_adjust,flocet,21,False
BalanceScale,0.9487179517745972,0.8653846383094788,57.16236662864685,10000,add_adjust,flocet,28,False
BalanceScale,0.9551281929016113,0.8782051205635071,34.84276986122131,10000,add_adjust,flocet,17,False
Balloons,1.0,0.75,0.4097099304199219,10000,add_adjust,flocet,6,False
Balloons,1.0,1.0,0.5880091190338135,10000,add_adjust,flocet,6,False
Balloons,1.0,0.75,0.6441783905029297,10000,add_adjust,flocet,7,False
Bank,0.8725663423538208,0.8796460032463074,127.01531434059143,10000,add_adjust,flocet,8,False
