Name,Accuracy,Time,Dimensions,Method,Encoding,Iterations,Retrain
Car,0.7939814925193787,1.9632768630981445,10000,add,hashmap,1,False
Car,0.7847222089767456,1.959306240081787,10000,add,hashmap,1,False
Cardiotocography10Clases,0.578154444694519,3.0207056999206543,10000,add,hashmap,1,False
Cardiotocography10Clases,0.5894538760185242,2.2983689308166504,10000,add,hashmap,1,False
Cardiotocography10Clases,0.598870038986206,2.471318006515503,10000,add,hashmap,1,False
Cardiotocography3Clases,0.7721280455589294,3.0927789211273193,10000,add,hashmap,1,False
Cardiotocography3Clases,0.7664783596992493,2.386392593383789,10000,add,hashmap,1,False
Cardiotocography3Clases,0.7721280455589294,2.4657912254333496,10000,add,hashmap,1,False
ChessKrvk,0.27430853247642517,31.849376916885376,10000,add,hashmap,1,False
ChessKrvk,0.2751639485359192,32.73108196258545,10000,add,hashmap,1,False
ChessKrvk,0.27174222469329834,31.579980611801147,10000,add,hashmap,1,False
ChessKrvkp,0.8372966051101685,3.474325180053711,10000,add,hashmap,1,False
ChessKrvkp,0.8347935080528259,3.992366313934326,10000,add,hashmap,1,False
ChessKrvkp,0.831038773059845,3.698805570602417,10000,add,hashmap,1,False
CongressionalVoting,0.5229358077049255,0.7113699913024902,10000,add,hashmap,1,False
CongressionalVoting,0.5229358077049255,0.5413315296173096,10000,add,hashmap,1,False
CongressionalVoting,0.5321100950241089,0.8359375,10000,add,hashmap,1,False
ConnBenchSonarMinesRocks,0.7884615659713745,0.5850040912628174,10000,add,hashmap,1,False
ConnBenchSonarMinesRocks,0.7115384340286255,0.37307095527648926,10000,add,hashmap,1,False
ConnBenchSonarMinesRocks,0.7692307829856873,0.6080458164215088,10000,add,hashmap,1,False
ConnBenchVowelDeterding,0.8701298832893372,1.4079906940460205,10000,add,hashmap,1,False
ConnBenchVowelDeterding,0.8787878751754761,2.5607221126556396,10000,add,hashmap,1,False
ConnBenchVowelDeterding,0.8614718317985535,1.6591224670410156,10000,add,hashmap,1,False
Connect4,0.6741666197776794,79.78728723526001,10000,add,hashmap,1,False
Connect4,0.6784889698028564,78.55506825447083,10000,add,hashmap,1,False
Connect4,0.6736929416656494,77.88255476951599,10000,add,hashmap,1,False
Contrac,0.47826087474823,2.260395050048828,10000,add,hashmap,1,False
Contrac,0.48097825050354004,1.7200660705566406,10000,add,hashmap,1,False
Contrac,0.4836956560611725,2.291633129119873,10000,add,hashmap,1,False
CreditApproval,0.8372092843055725,0.6999835968017578,10000,add,hashmap,1,False
CreditApproval,0.8430232405662537,1.0622007846832275,10000,add,hashmap,1,False
CreditApproval,0.8372092843055725,0.712130069732666,10000,add,hashmap,1,False
CylinderBands,0.734375,0.6459712982177734,10000,add,hashmap,1,False
CylinderBands,0.75,0.8608372211456299,10000,add,hashmap,1,False
CylinderBands,0.71875,1.0931003093719482,10000,add,hashmap,1,False
Dermatology,0.9780219793319702,0.7124793529510498,10000,add,hashmap,1,False
Dermatology,0.9780219793319702,1.0078401565551758,10000,add,hashmap,1,False
Dermatology,0.9780219793319702,0.8483030796051025,10000,add,hashmap,1,False
Echocardiogram,0.8787878751754761,0.21305584907531738,10000,add,hashmap,1,False
Echocardiogram,0.8787878751754761,0.3342552185058594,10000,add,hashmap,1,False
Echocardiogram,0.9090909361839294,0.34418249130249023,10000,add,hashmap,1,False
Ecoli,0.8690476417541504,0.32640695571899414,10000,add,hashmap,1,False
Ecoli,0.8809523582458496,0.6779158115386963,10000,add,hashmap,1,False
Ecoli,0.8690476417541504,0.3822922706604004,10000,add,hashmap,1,False
EnergyY1,0.8385416865348816,1.1143863201141357,10000,add,hashmap,1,False
EnergyY1,0.8333333134651184,0.8812286853790283,10000,add,hashmap,1,False
EnergyY1,0.8385416865348816,1.1105234622955322,10000,add,hashmap,1,False
EnergyY2,0.859375,1.5539464950561523,10000,add,hashmap,1,False
EnergyY2,0.859375,1.179675579071045,10000,add,hashmap,1,False
EnergyY2,0.859375,1.6358330249786377,10000,add,hashmap,1,False
Fertility,0.7599999904632568,0.09910798072814941,10000,add,hashmap,1,False
Fertility,0.7599999904632568,0.2634596824645996,10000,add,hashmap,1,False
Fertility,0.7200000286102295,0.2664206027984619,10000,add,hashmap,1,False
Flags,0.5,0.32019972801208496,10000,add,hashmap,1,False
Flags,0.4583333432674408,0.49039769172668457,10000,add,hashmap,1,False
Flags,0.4791666567325592,0.24944591522216797,10000,add,hashmap,1,False
Glass,0.5094339847564697,0.5329880714416504,10000,add,hashmap,1,False
Glass,0.49056604504585266,0.4946286678314209,10000,add,hashmap,1,False
Glass,0.5094339847564697,0.5471446514129639,10000,add,hashmap,1,False
HabermanSurvival,0.6052631735801697,0.4496152400970459,10000,add,hashmap,1,False
HabermanSurvival,0.6578947305679321,0.8741805553436279,10000,add,hashmap,1,False
HabermanSurvival,0.6184210777282715,0.32344770431518555,10000,add,hashmap,1,False
HayesRoth,0.0357142873108387,0.388685941696167,10000,add,hashmap,1,False
